timestamp_sec,datetime,J1_pos,J2_pos,J3_pos,J4_pos,J5_pos,J6_pos,J1_torque,J2_torque,J3_torque,J4_torque,J5_torque,J6_torque,program_speed,Status
1779842626,43:46.1,-0.640107572,-21.62046623,-14.11006451,119.1495743,-7.274693489,-207.1583405,-2.587201357,-1.180994272,3.878055573,-0.03021148,-0.683878064,-1.367756128,60,Abnormal
1779842627,43:47.1,-0.640107572,-21.62046623,-14.11006451,119.1495743,-7.274693489,-207.1583405,0.823949456,-0.8074705,3.051359415,-0.024718484,-0.271903336,-0.950288355,60,Abnormal
1779842628,43:48.2,1.757909656,-21.5903244,-14.11613941,111.7472916,-9.360405922,-200.3653107,0.878879428,0.038450975,3.911013365,-1.631419897,1.170008183,1.315572619,60,Abnormal
1779842629,43:49.2,6.037017822,-21.21262932,-14.20904636,104.6305161,-13.30043888,-194.3517609,3.971436501,1.362263083,1.667124391,0.398242235,1.307333112,-0.475144178,60,Abnormal
1779842630,43:50.2,5.424359322,-24.41350937,-11.37057781,59.51268768,-14.31415367,-149.3585663,0.472397685,-0.900851429,2.156001091,-0.758033514,0.365284264,1.428179026,60,Abnormal
1779842631,43:51.2,4.239308834,-28.53328514,-7.297783375,26.50361061,-25.15288925,-116.3406754,-0.840428472,-0.538313627,3.88629508,-0.271903336,0.197747871,1.359516621,60,Abnormal
1779842632,43:52.2,2.848263025,-32.06082153,-3.329691887,14.78021908,-38.92490387,-104.410675,-1.137050271,-0.027464982,3.754462957,-0.450425714,0.156550393,-0.887118936,60,Abnormal
1779842633,43:53.3,1.221448302,-35.04714966,0.481300324,9.205014229,-53.32770157,-98.37064362,-0.994232357,0.214226857,3.617138147,-0.203240871,0.752540529,-0.892611921,60,Abnormal
1779842634,43:54.3,-0.660740376,-37.5449028,4.078674316,6.07743454,-67.8008194,-94.40879822,-0.9338094,0.422960728,3.419390202,-0.4559187,0.895358443,-0.810216963,60,Abnormal
1779842635,43:55.3,-2.827034712,-39.63780975,7.445654869,4.283307552,-82.18017578,-91.21504974,-0.939302385,0.856907427,3.595166206,-0.38176325,1.26338923,-0.667399049,60,Abnormal
1779842636,43:56.3,-5.30314827,-41.40721512,10.57128906,3.509289742,-96.33751678,-88.14156342,-0.845921457,0.752540529,3.31227684,-0.475144178,1.579236507,-0.683878064,60,Abnormal
1779842637,43:57.4,-5.753528118,-41.67956924,11.07491016,3.479479074,-98.69629669,-87.59859467,-0.538313627,1.290854216,2.966217995,0.068662457,1.554517984,-0.494369686,60,Abnormal
1779842638,43:58.4,-5.753528118,-41.67956924,11.07491016,3.479479074,-98.69629669,-87.59859467,-0.098873936,1.268882155,2.883823156,0.205987364,1.461137056,-0.439439714,60,Abnormal
1779842639,43:59.4,-10.05108643,-41.23022461,10.84999561,3.286583424,-98.2226944,-83.35393524,-0.505355656,2.669596195,3.64185667,-0.845921457,-0.758033514,1.375995636,60,Abnormal
1779842640,44:00.5,-16.77631378,-39.99685669,10.24486065,2.948047876,-97.25853729,-76.72470093,-2.04888773,2.609173298,5.02334547,-1.612194419,-0.801977456,1.299093604,60,Abnormal
1779842641,44:01.5,-22.83273125,-38.26195145,9.42387104,2.60920763,-96.14899445,-70.76340485,-1.329305172,2.966217995,4.696511745,-1.774237871,-0.837681949,1.315572619,60,Abnormal
1779842642,44:02.5,-22.98630333,-38.20933533,9.399528503,2.600242376,-96.11779022,-70.61228943,-2.570722342,2.103817701,5.311727524,-0.321340293,-0.920076907,0.85965395,60,Abnormal
1779842644,44:03.5,-22.98630333,-38.20933533,9.399528503,2.600242376,-96.11779022,-70.61228943,-1.614941001,2.285086632,5.089261055,-0.049436968,-0.837681949,0.689371049,60,Abnormal
1779842645,44:04.5,-18.2127285,-39.6426239,10.07436275,2.870418072,-97.01647949,-75.31032562,0.587750614,0.79648447,1.614941001,2.013183117,1.587476015,-1.315572619,60,Abnormal
1779842646,44:05.6,-11.55841923,-41.01189041,10.74157238,3.214466095,-98.0304718,-81.86687469,4.328481197,1.318319201,-1.060148358,0.535567164,2.032408714,-1.444658041,60,Abnormal
1779842647,44:06.6,-5.754329205,-41.67951202,11.07487679,3.479465961,-98.69620514,-87.59780884,4.295523167,1.510573983,-1.09310627,0.346058786,2.205438137,-1.47486949,60,Abnormal
1779842648,44:07.6,0.408774376,-41.89475632,11.18308544,3.720873594,-99.18456268,-93.70028687,3.773688555,1.884097815,-0.464158207,0.755286992,2.37846756,-1.417193055,60,Abnormal
1779842649,44:08.6,7.4772439,-41.52989578,10.9989357,3.942400932,-99.46524811,-100.7262115,3.74622345,4.042845249,-0.057676464,0.758033514,2.51579237,-1.455644011,60,Abnormal
1779842650,44:09.7,14.35120296,-40.52053833,10.4983902,4.097045422,-99.44021606,-107.5911026,3.328755856,3.823125601,0.571271658,1.148036242,-1.458390594,-1.458390594,60,Abnormal
1779842651,44:10.7,20.81971169,-38.91114807,9.725313187,4.185207844,-99.12980652,-114.0832825,2.642131329,3.625377655,1.332051635,1.461137056,-1.557264447,-1.570997,60,Abnormal
1779842652,44:11.7,21.58859634,-38.67228699,9.613170624,4.19191885,-99.07335663,-114.857132,2.191705465,3.010162115,1.4226861,0.362537771,-0.590497136,-1.202966213,60,Abnormal
1779842653,44:12.7,21.58859634,-38.67228699,9.613170624,4.19191885,-99.07335663,-114.857132,-0.516341686,2.142268658,2.397692919,0.211480364,-0.365284264,-0.985992849,60,Abnormal
1779842654,44:13.7,17.64888954,-39.78623962,10.14187813,4.148867607,-99.31802368,-110.896843,-0.703103542,1.005218387,1.584729433,-0.609722614,2.320791006,1.499588013,60,Abnormal
1779842655,44:14.8,10.94494534,-41.10504913,10.78675747,4.027933598,-99.49041748,-104.1851349,-0.505355656,1.043669343,1.680856943,-0.571271658,2.287832975,1.395221114,60,Abnormal
1779842656,44:15.8,3.962522268,-41.79364395,11.13180161,3.839728355,-99.36346436,-97.22875214,-2.087338686,0.532820642,2.216423988,0.911837399,-1.271628618,0.7854985,60,Abnormal
1779842657,44:16.8,-3.139220238,-41.83161545,11.15139484,3.586938858,-98.93086243,-90.18481445,-3.911013365,2.719033241,3.773688555,2.587201357,-2.56797576,0.887118936,60,Abnormal
1779842658,44:17.8,-5.753556728,-41.67957687,11.07491493,3.479278088,-98.69628906,-87.59859467,-2.208184481,2.043394566,3.570447683,2.83438611,-1.057401776,0.071408957,60,Abnormal
1779842659,44:18.9,-5.753556728,-41.67957687,11.07491493,3.479278088,-98.69628906,-87.59859467,-0.801977456,2.23015666,3.103543043,2.026915789,-0.744301021,-0.096127436,60,Abnormal
1779842660,44:19.9,-5.753549576,-42.5038147,9.975652695,3.469937086,-97.59898376,-87.6658783,0.291128814,1.076627254,1.576489925,-0.208733872,-0.980499864,1.065641284,60,Abnormal
1779842661,44:20.9,-5.753606319,-44.63616562,6.93500042,3.450367689,-94.56369019,-87.85032654,0.499862671,1.126064301,1.757758856,0.247184843,-0.928316414,1.365009665,60,Abnormal
1779842662,44:21.9,-5.753663063,-46.53025436,3.894453049,3.440631628,-91.52844238,-88.03320313,0.1538039,2.779456139,-2.208184481,-1.642405987,-1.084866762,0.939302385,60,Abnormal
1779842663,44:22.9,-5.75371933,-48.17094803,0.826292038,3.440638065,-88.46561432,-88.21723175,-0.032957979,3.823125601,-5.416094303,0.557539165,-0.975006878,1.04092288,60,Abnormal
1779842664,44:24.0,-5.75026226,-48.85575485,0.666322708,3.150076866,-86.44278717,-88.41504669,-0.005492996,0.016478989,0,0,-0.002746498,0,60,Abnormal
1779842665,44:25.0,-5.750276089,-48.85588455,0.666418076,3.149888992,-86.44284821,-88.41497803,0.010985993,0.016478989,-0.008239495,0.005492996,-0.002746498,-0.005492996,60,Abnormal
1779842666,44:26.0,-5.750276089,-48.85588455,0.666418076,3.14989543,-86.44284821,-88.41504669,-0.027464982,0.005492996,-0.005492996,0,0,-0.002746498,60,Abnormal
1779842667,44:27.0,-5.750276089,-48.85588455,0.666418076,3.14989543,-86.44284821,-88.41500092,-0.010985993,0.010985993,0,0.002746498,0.002746498,0.005492996,60,Abnormal
